token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
99926000,NIFTY,Nifty 50,,0,1,AMXIDX,NSE,0.000000
99926001,NIFTY GROWSECT 15,Nifty GrowSect 15,,0,1,AMXIDX,NSE,0.000000
99926002,NIFTY50 PR 2X LEV,Nifty50 PR 2x Lev,,0,1,AMXIDX,NSE,0.000000
99926004,NIFTY 500,Nifty 500,,0,1,AMXIDX,NSE,0.000000
99926008,NIFTY IT,Nifty IT,,0,1,AMXIDX,NSE,0.000000
99926009,BANKNIFTY,Nifty Bank,,0,1,AMXIDX,NSE,0.000000
99926011,NIFTY MIDCAP 100,NIFTY MIDCAP 100,,0,1,AMXIDX,NSE,0.000000
99926012,NIFTY 100,Nifty 100,,0,1,AMXIDX,NSE,0.000000
99926013,NIFTYNXT50,Nifty Next 50,,0,1,AMXIDX,NSE,0.000000
99926014,NIFTY MIDCAP 50,Nifty Midcap 50,,0,1,AMXIDX,NSE,0.000000
99926017,INDIA VIX,India VIX,,0,1,AMXIDX,NSE,0.000000
99926018,NIFTY REALTY,Nifty Realty,,0,1,AMXIDX,NSE,0.000000
99926019,NIFTY INFRA,Nifty Infra,,0,1,AMXIDX,NSE,0.000000
99926020,NIFTY ENERGY,Nifty Energy,,0,1,AMXIDX,NSE,0.000000
99926021,NIFTY FMCG,Nifty FMCG,,0,1,AMXIDX,NSE,0.000000
99926022,NIFTY MNC,Nifty MNC,,0,1,AMXIDX,NSE,0.000000
99926023,NIFTY PHARMA,Nifty Pharma,,0,1,AMXIDX,NSE,0.000000
99926024,NIFTY PSE,Nifty PSE,,0,1,AMXIDX,NSE,0.000000
99926025,NIFTY PSU BANK,Nifty PSU Bank,,0,1,AMXIDX,NSE,0.000000
99926026,NIFTY SERV SECTOR,Nifty Serv Sector,,0,1,AMXIDX,NSE,0.000000
...
